,제목,작가,장르,무료공개,완결,기다무,총회차,좋아요수,성인,키워드,소개,평균별점,구매자수,전체리뷰수,별점평가자수,함께_작품들,novelindex,가중평균,링크,썸네일
0,두 남편과의 결혼계약,금은하,판타지물,3,FALSE,TRUE,136,1531,FALSE,"'서양풍', '로맨틱코미디', '사제지간', '첫사랑', '순정남', '다정남', '오해', '달달물', '계약연애', '결혼', '선결혼후연애', '운명적사랑', '능력남', '짝사랑남', '존댓말남', '대형견남', '뇌섹녀', '능력녀', '무심녀'","로젤라인은 제국 제일의 기사인 대공 멜키오르에게 결혼당했다. “저에 대해 모르시잖아요.”“내가 그대를 구하고 싶어.” 목숨도 구해 주고, 가족도 구해 주고, 빚까지 갚아 준 데다 결혼까지 하려 하는 남자.이유 없는 호의는 없다는데, 모르는 사람에게 이렇게까지 해 주는 이유가 뭘까? “그대는 내가 아는 어떤 사람을 닮았거든.” 로젤라인과 똑같이 생겼다는 멜키오르의 첫사랑.자신은 단지 첫사랑의 대역일 뿐이라 생각해 의기소침해져 있던 차에, 남편의 어린 시절을 쏙 빼닮은 율리안을 제자로 들이게 되는데…. “그 남자와 이혼하고 저와 결혼해 주세요, 로젤라인.” 두 남편과 전부 결혼하면, 어떻게 되지?",4.7,6095,7649,6720,"'더 가이드', '시한부 흑막 안 구하고 떠납니다', '마녀는 쉬고 싶습니다', '광애록', '짝사랑을 끝내는 법', '돌아버린', '플레임', '스테어, 날 삼키는 시선', '소꿉친구의 전담 가이드가 되었다', '상단주 남편 채용의 건', '잠비', '요정의 유산'",0,4.647314167,https://ridibooks.com/books/425236951?_rdt_sid=category-books&_rdt_idx=0,https://img.ridicdn.net/cover/425251022/xxlarge#1
1,마녀는 쉬고 싶습니다,몽땅,판타지물,3,FALSE,TRUE,124,669,FALSE,"'캠퍼스물', '전생', '환생', '무심녀', '걸크러시', '성장물', '여주중심'","제도의 으슥한 거리에 사는 마녀.그녀는 바깥의 흉흉한 소문과 달리 평범한 소녀이자 유명한 점술집을 운영하는 마담이었다. 특이하다면 특이한 그녀는 자신이 사는 곳이 소설 속이라는 것을 알았다. 하지만, 그뿐. 그녀는 소설을 읽어본 적도 없고, 자신이 소설 속 엑스트라로조차 나오지 않는다는 것을 잘 알았다. 그렇게 소설에 존재하는 듯 없는 듯 살아가던 그녀에게 하나의 이변이 생겼다. 아카데미 입학장이 날아오고 소설에 엮이기 시작한 것이다. [네가 소설 속 주인공이 돼보는 것이 어떻겠느냐?]그녀를 주인공으로 만들려는 신과. “아! 셀리나! 혹시 시간 괜찮으면 우리랑 같이 돌아다닐래?”자꾸만 다가오려는 여주인공. “셀리나, 넌 어디 다친 데 없지?”오랜만에 만난 소꿉친구까지. 왜 이렇게 나를 귀찮게 하지 못해서 안달이야. 나는 좀 쉬고 싶다고.",4.7,6764,8578,7453,"'더 가이드', '시한부 흑막 안 구하고 떠납니다', '광애록', '짝사랑을 끝내는 법', '마법경영학과 20학번 김가을', '우리 집으로 와요', '나쁜 보호자', '돌아버린', '플레임', '스테어, 날 삼키는 시선', '소꿉친구의 전담 가이드가 되었다', '두 남편과의 결혼계약', '상단주 남편 채용의 건', '잠비', '요정의 유산'",1,4.65222874,https://ridibooks.com/books/2213007480?_rdt_sid=category-books&_rdt_idx=1,https://img.ridicdn.net/cover/2213007783/xxlarge#1
2,키메라,홍수연,현대물,3,TRUE,TRUE,106,2890,FALSE,"'신파', '천재', '갑을관계', '신분차이', '몸정', '맘정', '소유욕', '독점욕', '질투', '운명적사랑', '뇌섹남', '재벌녀', '나쁜여자'","“처음부터 돈이 목적이었어? 그래서 나랑 잤는지 궁금해서.” 신정은은 늘 궁금했다. 그는 그때 왜 그녀의 유혹에 넘어왔을까? 그토록 경멸했던 그녀의 유혹에. “성공하고 싶지, 무슨 수를 쓰더라도.” 차신현은 그녀와 대등한 위치에 서고 싶었다. 그러면 많은 것이 달라질 수도 있지 않을까?  “그럼 내 밑으로 오면 되겠네. 대가로 넌 날 기쁘게 해 주고.” 정은은 그를 무너뜨리고 싶었다.   경멸의 말을 서슴없이 하면서도 섹스할 때는 죽을 만큼 사랑하는 것 같은 뜨거운 이 남자를.  “글쎄? 위는 어때? 네가 날 만족시켜 주는 걸로.” 신현은 도저히 빼앗길 수 없다. 정은을 향한 욕망은 항체도 생기지 않고, 백신도 만들 수 없다. 개 같은 짓을 저지를지라도 그가 갖고 싶었다. 그가 가져야 했다.",4.8,1240,1851,1757,"'굶주린 짐승을 건드리지 말 것', '삭제', '합법적 악역의 사정', '하고 싶던 말', '낙원의 뱀', '혼자 걷는 새', '부서지는 나날들', '술래의 눈이 먼 날에', '플레임', '돌아버린', '품격을 배반한다', '도버맨(Doberma)', '나의 사랑하는 적들에게', '딜레탕트(Dilettate)', '잠비', '그만하면 다정했다'",2,4.607638039,https://ridibooks.com/books/321003628?_rdt_sid=category-books&_rdt_idx=2,https://img.ridicdn.net/cover/321003628/xxlarge#1
3,피폐물 속 괴물 남주와 결혼했다,폼숲,판타지물,3,FALSE,TRUE,99,1792,FALSE,"'서양풍', '전생', '환생', '순정남', '계략남', '달달물', '선결혼후연애', '소유욕', '독점욕', '질투', '운명적사랑', '직진남', '집착남', '존댓말남', '다정녀', '엉뚱녀', '쾌활발랄녀'","로맨스 한 줄 없는 잔인한 피폐물 속에 환생했다.이름도 언급되지 않은 단역이라 원작과 동떨어진 인생을 살 줄 알았다.보름달이 뜨는 어느 밤, 남주가 작중에 없던 작위를 달고 그녀를 찾아오기 전까지는. “후작이 당신을 대가로 내게 금전을 요구하더군요.” 수틀리면 검부터 빼 든다는 냉혈한임을 떠올리고 겁먹었던 것도 잠시.세라엘은 부친이 자신을 팔아넘기려 한다는 사실을 알게 되었다. “난 나쁘지 않은 제안이라 생각해서요.” 문제는 피도 눈물도 없는 남자가 그녀를 마음에 들어 한다는 것이다.이대로 그를 떠나보내면 다음 혼처는 대머리 노백작이란다.야반도주까지 고민하던 세라엘은 결국 카에드와 북부로 떠나게 되는데….  “모두 우연이라 생각하십니까?” 결혼식 첫날밤, 젖은 뺨에 다정히 입을 맞춘 카에드가 속내를 드러냈다. “내가 이날 밤을 위해서 개처럼 살아왔다고 하면 믿을 수 있겠어요?”“대, 대공님.” 남자의 금색 눈동자에는 음험한 열망이 그득 들어차 있었다.",4.6,8011,9826,8769,"'더 가이드', '네 짝사랑의 실패를 위하여', '광애록', '마녀는 쉬고 싶습니다', '시한부 흑막 안 구하고 떠납니다', '마법경영학과 20학번 김가을', '우리 집으로 와요', '나쁜 보호자', '산해진미', '북부 대공의 집착에서 벗어나기 위해', '품격을 배반한다', '연하 늑대가 노리고 있다', '상단주 남편 채용의 건', '소꿉친구의 전담 가이드가 되었다', '꽃은 미끼야'",3,4.563496124,https://ridibooks.com/books/4689000001?_rdt_sid=category-books&_rdt_idx=3,https://img.ridicdn.net/cover/4689000099/xxlarge#1
4,하고 싶던 말,문수진,현대물,3,TRUE,TRUE,83,1186,FALSE,"'첫사랑', '재회물', '친구', '연인', '다정남', '절륜남', '상처녀', '잔잔물', '능력남', '직진남', '능력녀', '후회녀', '츤데레남'","“네가 나 버렸잖아. 그 벌 받는다고 생각해.” 빌어먹을 우연. 엿 같은 운명. 같은 대본을 욕심 낸 결과는, 헤어진 연인과의 재회였다.  “넌 나랑 일이 하고 싶어? 할 수 있어?”“가까이에서 보고 싶거든.”“…….”“네가 나 때문에 괴로워하는 걸.” 그런데 태주야. “병신이야? 왜 맞고 살아. 뭐 하러 맞고 살기까지 해!” 왜 그 벌을 네가 받고 있어. “너 나 좋아해?” “왜 겁 없이 물어. 내가 뭘 대답할 줄 알고.” 네게는 끝내 할 수 없을 거라 생각했던 말.나를 내내 울게 하고너를 내내 그립게 만든, .",4.7,915,1374,1101,"'더 가이드', '굶주린 짐승을 건드리지 말 것', 'C급 가이드로 살아남는 법', '키메라', '우리 집으로 와요', '리비도 (Libido)', '혼자 걷는 새', '부서지는 나날들', '플레임', '부적절한 플레이가 감지되었습니다', '돌아버린', '당신을 원하는 나에게', '나쁜 보호자', '후배는 진화한다', '창백한 손의 온기', '잠비'",4,4.450739336,https://ridibooks.com/books/4569000001?_rdt_sid=category-books&_rdt_idx=4,https://img.ridicdn.net/cover/4569000001/xxlarge#1
5,네 짝사랑의 실패를 위하여,박해린,판타지물,3,FALSE,TRUE,92,3032,FALSE,"'학원물', '서양풍', '로맨틱코미디', '첫사랑', '순정남', '오해', '왕족', '귀족', '달달물', '신분차이', '직진남', '짝사랑남', '평범녀', '순정녀'","제노미움 아카데미의 유명 인사,모든 여학생들의 애정 공세를 받고 있는필릭스 베르크. 최근 그에게는 거슬리는 사람이 하나 생겼다. 바로 한 학년 아래의 루시 키넌. 그다지 눈에 띄지 않는 외모에, 성격까지 얌전한 그 여학생은유일하게 필릭스와 그의 일란성 쌍둥이 아드리안을 귀신처럼 구별해 낸다. 자신과 마주쳤을 땐 무표정하던 얼굴이아드리안과 마주치면 환한 웃음을 짓는다. 자신과 있을 땐 꾹 다물고 있던 입술이아드리안과 있을 때만 조잘댄다. 확실하다.루시 키넌이 자신의 쌍둥이 동생 아드리안을 짝사랑하고 있는 것이. 그런 루시 키넌에 대한 호기심이 점점 커져 가는 와중에필릭스는 한 가지 의문이 들기 시작한다. 얼굴도 똑같고, 키도 똑같고, 목소리도 똑같은데,왜 하필 내가 아니라 아드리안이지? 루시 키넌의 짝사랑을 괜히 훼방 놓고 싶어진 건 덤.",4.7,8792,10733,9586,"'더 가이드', '광애록', '마녀는 쉬고 싶습니다', '마법경영학과 20학번 김가을', '우리 집으로 와요', '나쁜 보호자', '산해진미', '북부 대공의 집착에서 벗어나기 위해', '품격을 배반한다', '연하 늑대가 노리고 있다', '상단주 남편 채용의 건', '꽃은 미끼야', '피폐물 속 괴물 남주와 결혼했다'",5,4.662427529,https://ridibooks.com/books/777092306?_rdt_sid=category-books&_rdt_idx=5,https://img.ridicdn.net/cover/777094872/xxlarge#1
6,혼자 걷는 새,서사희,현대물,3,TRUE,TRUE,75,2536,FALSE,"'동거', '복수', '첫사랑', '재회물', '까칠남', '상처남', '후회남', '다정남', '절륜남', '계략남', '상처녀', '카리스마남', '재벌남', '조직', '암흑가', '갑을관계', '계약연애', '결혼', '소유욕', '독점욕', '질투', '뇌섹남', '능력남', '직진남', '유혹남', '집착남', '짝사랑남', '냉정남', '무심남', '오만남', '평범녀', '다정녀', '짝사랑녀', '순정녀', '철벽녀', '동정녀', '무심녀', '이야기중심'","엄마가 남긴 이억 원의 사채 빚.모든 게 끝났다고 생각했다. “내가 몇 년 빌릴까 하는데.” 대부업체 사장의 동생이라는 남자가 제안을 해오기 전까지는. “상환 기한을 3년 후로 미루고, 그간 머물 곳을 마련해 주지.” 조건 없는 3년간의 동거 생활. 그가 원한 것은 그저 자신의 곁에 있으라는 것뿐. “이석 씨, 내 빚 안 갚아줄 거죠.” 그러나 그는 사랑하지 않기엔 너무나 근사한 남자였다.처음부터 잘못 끼워 맞춘 관계라는 걸 망각할 정도로.그래서 바보 같은 희망을 가졌다. 이석은 꼭 여원이 여느 때 짓던 웃음처럼, 다소 장난스럽게 웃으며 그녀의 뺨을 문질렀다. “네 빚은 네 빚이지, 여원아.” * “돈 때문에 날 배신해 놓고, 이제 와서 돈 같은 건 됐다고?”“……난, 나는 당신이 싫어요. 이러는 것도 싫고요.” 그 말에, 이석은 상처가 헤집어진 사람처럼 아픈 얼굴로 그녀를 응시했다.반쯤 웃는 듯 우는 듯 묘한 표정을 한 그가 위태로이 말을 이었다. “너는, 번번이 내 생각에서 어긋나지.처음부터 그랬어. 처음부터…….  너는 내 생각과, 시선과, 계획을 다 어그러뜨려. 다 엉망이 됐다고.  정말이지 견딜 수 없을 정도로, 나를 흔들고, 이렇게 망가뜨리고…….”",4.7,1069,1479,1456,"'삭제', '줄리엣, 여긴 캔자스가 아니야!', '키메라', 'S급 던전의 여주인', '리비도 (Libido)', '잠 못 드는 시녀의 밤', '부서지는 나날들', '플레임', '정부는 도망친다', '돌아버린', '하고 싶던 말', '후배는 진화한다', '창백한 손의 온기', '잠비'",6,4.498287716,https://ridibooks.com/books/3302001415?_rdt_sid=category-books&_rdt_idx=6,https://img.ridicdn.net/cover/3302001415/xxlarge#1
7,괴물 저택의 도련님을 지키는 방법,킨,판타지물,3,FALSE,TRUE,115,3093,FALSE,"'가상시대물', '서양풍', '사내연애', '초월적존재', '순정남', '계략남', '달달물', '차원이동', '소유욕', '독점욕', '질투', '능력남', '직진남', '유혹남', '집착남', '냉정남', '오만남', '존댓말남', '대형견남', '능력녀', '사이다녀', '직진녀', '다정녀', '철벽녀', '무심녀', '외유내강', '걸크러시', '쾌활발랄녀', '성장물', '추리', '미스터리', '스릴러', '이야기중심', '여주중심'","20XX년, 가상 현실 게임이 유행인 시대.그중에서도 내가 플레이하던 은 연애 시뮬레이션, 공포 액션, 육성 장르가 짬뽕 된 게임이었다. “오구. 걱정 마, 애기야. 내가 다음엔 진짜 꼭 살려 줄게.”‘정말? 그럼 너한테 맡길게.’ 하지만 그동안 애지중지 키워 온 도련님이 43번째 죽은 날, 이상한 목소리가 들리며 기묘한 44회차가 시작되었다. “다이안 도련님, 새로운 양육자가 도착했습니다.” 원래는 게임에 없던 양육자란 직업이 자동 선택된 데 이어, 게임의 배경인 레드포드 저택에서 계속 예측 불가한 일이 벌어지기까지. “난 린이 세상에서 제일 좋아. 그러니까 내가 어른이 될 때까지 죽지 말고 계속 옆에 있어 줘.”“우는 얼굴이 예쁜 남자가 린 씨 취향이라면서요. 그거 딱 나잖아. 지금 한번 확인해 볼래요?” 그래도 이왕 이렇게 된 거 귀여운 개복치 고양이도 열심히 지키고, 꽃사슴 같은 데이터 썸남도 만들었는데…. [시스템 로딩 중…. 빠른 전개를 위해 시스템을 일부 복구합니다.][호감도 2] 야, 너 나 좋아하는 거 아니었어? 이 하찮은 호감도 도대체 뭔데?하지만 썸남이 다른 사람을 볼 때마다 내핵까지 뚫고 들어가는 머리 위의 숫자는 더 당황스러웠다. [호감도 ?889/?] 알고 보니 이 남자, 게임 데이터 주제에 인간 혐오증에라도 걸렸나 보다.",4.6,4887,5600,5461,"'짝사랑을 끝내는 법', '낙원의 뱀', '그의 청혼을 거절하지 않은 건', '병약한 악녀를 내버려두세요', '친애하는 익명의 후원자님께', '막장드라마에 갇혀버렸다', '예쁜 쓰레기 악역이 되었다', '부적절한 플레이가 감지되었습니다', '우리가 결혼하면 안 되는 이유', '상단주 남편 채용의 건', '피폐물 속 괴물 남주와 결혼했다', '서브남주의 부당한 대우에 관한 고찰', '매일 밤, 그의 침실로 찾아든다', '늑대가 잠든 숲', '팀장님, 드래곤한테 죽어도 산재인가요?', '컬렉터(Collector)', '두 남편과의 결혼계약', '요정의 유산', '시한부 흑막 안 구하고 떠납니다'",7,4.542910576,https://ridibooks.com/books/4632000001?_rdt_sid=category-books&_rdt_idx=7,https://img.ridicdn.net/cover/4632000115/xxlarge#1
8,그녀는 복수하지 않기로 결정했다,유안나,판타지물,3,FALSE,TRUE,73,665,FALSE,"'복수', '재회물', '초월적존재', '다정남', '왕족', '귀족', '라이벌', '앙숙', '뇌섹남', '능력남', '짝사랑남', '존댓말남', '뇌섹녀', '능력녀', '계략녀', '유혹녀', '나쁜여자', '도도녀', '이야기중심'","하늘 대륙 카마미타, 인간의 국가 로쇼두르 제국의 명물, 네 가지. 한번 먹으면 맛을 잊을 수 없는 쐐기풀 빵, 동쪽 숲의 현자 로제타, 인간의 제국에 귀화한 하이엘프 사백 년 재상 잉보르기아 공.그리고, 최근에 추가된, 검은 화염의 마도사 카틀레냐 아그레타 공작. 사람의 마음을 모른다는 냉정하고 무자비한 이 여성의 인생은 ‘최연소’와 ‘철혈의’, 혹은 ‘무시무시한’ 따위의 수식어로 점철되어 있었다.그러니 그녀가 자신의 가문을 몰락시킨 철천지원수 잉보르기아 공을 다시 중용하기를 황제에게 친히 천거했을 때, 세상 사람들은 당연히 이렇게 생각했다. 아! 드디어 아그레타 공작이 잉보르기아 공의 목을 따겠구나! 자신의 비밀 암살 집단이 세력을 차지한 수도로 굳이 가문의 철천지원수를 불러들였을 때, 이 무자비한 공작의 복수란 어떤 식으로, 얼마나 철저하게 설계되어 있었을까? 하지만 십오 년 만의 조우에서, 카틀레냐 아그레타는 그에게 이렇게 말했다.“세상 사람들의 섣부른 생각과 달리, 나는 당신에게 보복할 생각이 조금도 없답니다, 각하. 하지만 내가 당신을 용서했다고, 순진한 생각을 품고 계실 리는 없겠지요? 영민하신 당신께서 말이에요.”미온적으로 말을 맺으며, 카틀레냐 아그레타가 흥미롭게 턱을 빼 들었다. 특유의 사람을 깔보는 듯한 얼굴로 샤우릴린 잉보르기아를 빤히 내려다보면서.“나는 당신에게 복수하지 않기로 결정했어요. 이 말의 진정한 의미를, 부디, 잘 고려해 주시기를…….” 그래, .그것이야말로 가장 현명한 방도가 되리라는 사실을 알고 있었으므로.",4.7,2624,3047,2724,"'더 가이드', '가짜 마님이 사라졌다', '마법경영학과 20학번 김가을', '나를 기억해 주세요', '남주들의 첫날밤을 수집합니다', '우리 집으로 와요', '나쁜 보호자', '말없이 떠나 버리면', '흑사자님, 저는 인간인데요!', '북부 대공의 집착에서 벗어나기 위해', '악녀가 죽었는데 남주가 미쳤다', '동백꽃'",8,4.580029863,https://ridibooks.com/books/2213007786?_rdt_sid=category-books&_rdt_idx=8,https://img.ridicdn.net/cover/2213007877/xxlarge#1
9,그만하면 다정했다,세리안,판타지물,3,FALSE,TRUE,129,3911,FALSE,"'서양풍', '첫사랑', '정략결혼', '계략남', '상처녀', '회귀', '타임슬립', '몸정', '맘정', '소유욕', '독점욕', '질투', '운명적사랑', '집착남', '냉정남', '계략녀'","태어나 처음 사랑한 남자를 이복 여동생에게 빼앗겼다.그래서 그녀는 그 남자의 형을 제 것으로 만들었다. 온 대륙을 자신의 발아래 꿇린 남자, 아킬레온 황제.그런 남자가 사랑을 구걸하도록 만든 건 바로 헤이젤이었다. “말해 봐, 내 황후는 무엇이 갖고 싶지?” 원하는 건 무엇이든 가질 수 있었다.딱 하나, 첫사랑을 제외하고는. 아름답게 꾸민 채 초대된 사냥제의 밤에,황제는 그녀가 가장 탐내던 사냥감을 바친다. “어때? 이만하면 다정하지 않나?”“폐, 폐하.”“아내가 원하는 걸 고이 안겨 주는 남편인데 말이야.” 더없이 다정하던 남편의 잔혹한 복수에 헤이젤은 모든 걸 되돌릴 마지막 기회를 맞이하지만…. “찾았다.” 황제의 푸른 눈은 오로지 그녀만을 향해 빛나고 있었다.",4.5,1284,1915,1674,"'굶주린 짐승을 건드리지 말 것', '네 짝사랑의 실패를 위하여', '합법적 악역의 사정', '사냥꾼에게서 도망쳤다', '두 남편과의 결혼계약', '키메라', '낙원의 뱀', '부서지는 나날들', '나를 파멸시킬 그대에게', '잠 못 드는 시녀의 밤', '야수공작을 길들이는 게 아니었어!', '품격을 배반한다', '도버맨(Doberma)', '상냥한 원수와의 정략결혼', '딜레탕트(Dilettate)', '친애하는 익명의 후원자님께', '피폐물 속 괴물 남주와 결혼했다'",9,4.358399923,https://ridibooks.com/books/4597000001?_rdt_sid=category-books&_rdt_idx=9,https://img.ridicdn.net/cover/4597000129/xxlarge#1
