ID,novelindex,평점
000***,655,5
000***,140,5
000***,683,5
000***,7,5
000***,103,5
000***,27,5
000***,120,5
000***,154,5
000***,740,5
000***,71,5
000***,488,5
000***,494,5
000***,156,5
000***,464,5
000***,126,5
000***,532,5
000***,86,5
000***,647,5
000***,109,5
000***,100,5
000***,459,5
000***,684,5
000***,510,5
000***,665,5
000***,641,5
000***,487,5
000***,60,5
000***,482,5
000***,517,5
000***,478,5
000***,645,5
000***,706,5
000***,49,5
000***,492,5
000***,35,5
000***,503,5
000***,82,5
001***,23,5
001***,7,3
001***,797,5
001***,5,5
001***,40,5
001***,89,5
001***,0,5
001***,467,4
001***,796,5
001***,507,4
001***,466,5
001***,481,5
001***,159,5
001***,270,5
001***,46,5
001***,49,5
001***,76,5
001***,84,2
001***,271,5
001***,26,5
001***,3,5
002***,520,4
002***,494,4
002***,532,4
002***,459,5
002***,143,5
002***,684,4
002***,487,4
002***,478,5
002***,645,4
002***,131,5
004***,797,5
004***,5,5
004***,40,5
004***,89,5
004***,0,5
004***,1,5
004***,25,5
004***,796,5
004***,466,5
004***,481,5
004***,270,5
004***,46,5
004***,76,5
004***,271,5
004***,26,5
004***,3,5
007***,106,5
007***,23,4
007***,8,4
007***,120,4
007***,797,4
007***,71,4
007***,5,4
007***,40,4
007***,488,4
007***,89,4
007***,139,3
007***,1,4
007***,109,4
007***,796,4
007***,459,5
007***,466,4
007***,60,1
007***,481,4
007***,270,4
007***,49,4
007***,271,4
007***,26,4
007***,3,4
008***,23,5
008***,797,5
008***,5,5
008***,40,5
008***,89,5
008***,1,5
008***,796,5
008***,466,5
008***,481,5
008***,270,5
008***,46,5
008***,271,5
008***,26,5
008***,3,5
00d***,23,5
00d***,424,5
00d***,5,5
00d***,40,5
00d***,156,5
00d***,89,5
00d***,0,5
00d***,1,5
00d***,25,4
00d***,473,5
00d***,466,5
00d***,482,5
00d***,481,4
00d***,130,5
00d***,76,5
00d***,19,4
00d***,271,5
00d***,26,4
00d***,3,4
00j***,135,5
00j***,23,5
00j***,797,5
00j***,5,5
00j***,40,5
00j***,0,5
00j***,25,5
00j***,796,5
00j***,481,5
00j***,76,5
00j***,271,5
00j***,3,5
00s***,106,4.5
00s***,11,4.5
00s***,135,4
00s***,148,4
00s***,47,5
00s***,23,4
00s***,7,4.5
00s***,528,5
00s***,8,4
00s***,9,5
00s***,67,5
00s***,797,5
00s***,12,5
00s***,48,4
00s***,37,4
00s***,458,5
00s***,424,4
00s***,13,5
00s***,44,4
00s***,794,4
00s***,5,5
00s***,465,4
00s***,810,4
00s***,34,5
00s***,40,4
00s***,80,5
00s***,461,5
00s***,89,4
00s***,0,4
00s***,53,5
00s***,467,4
00s***,65,4.5
00s***,464,5
00s***,1,4
00s***,145,5
00s***,69,5
00s***,43,5
00s***,31,4.5
00s***,10,4
00s***,56,5
00s***,102,5
00s***,61,5
00s***,25,4
00s***,480,4.5
00s***,796,4
00s***,100,5
00s***,174,4.5
00s***,14,4.5
